0,Bundesregierung,Bundesregierung
1,Bundesinnenminister,Bundesminister des Inneren
2,Chef des Bundeskanzleramts,"Chef des Bundeskanzleramts, oft gleichzeitig Bundesminister für besondere Aufgaben"
3,BND-Präsident,Präsident des Bundesnachrichtendienstes
4,Geheimdienstkoordinator,Leiter der Abteilung 6 im Bundeskanzleramt
5,Fachaufsicht BKA und BfV,Leiter der Abteilung Öffentliche Sicherheit im Bundesinnenministerium
6,Staatssektretär im BMI,Staatssektretär im Bundesinnenministerium
7,Staatssektretär im BKAmt,Staatssektretär im Bundeskanzleramt und Beauftragter für die Nachrichtendienste des Bundes
8,Bundesaußenminister,Bundesminister des Äußeren
9,Vizepräsident BfV,Vizepräsident Bundesamt für Verfassungsschutz
10,Präsident LfV Nds,Verfassungsschutzpräsident Niedersachsen (MI Abt. 5)
11,Bundesverteidigungsminister,Bundesminister der Verteidigung
12,Innenminister Sachsen,Sächsischer Staatsminister des Innern
13,Justizminister Sachsen,Sächsischer Staatsminister der Justiz
14,Finanzminister Sachsen,Sächsischer Staatsminister der Finanzen
15,Bundesumweltminister,"Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit"
16,Sächsische Staatskanzlei,Sächsischer Staatsminister (Chef der Staatskanzlei)
17,Staatskanzlei MV,Staatssekretär und Chef der Staatskanzlei Mecklenburg-Vorpommern
18,Staatssekretär Kultus MV,Staatssekretär im Kultusministerium Mecklenburg-Vorpommern
19,Ständige Vertretung der BRD in der DDR,"Rechtsabteilung, später auch Geheimschutzbeauftragter an der Ständigen Vertretung der Bundesrepublik Deutschland in Ost-Berlin"
20,Bundeskanzleramt,was genau dort?
21,Bundeslandwirtschaftsminister,Bundesminister für Ernährung und Landwirtschaft
22,Bundesfinanzminister,Bundesminister der Finanzen
23,,
24,,
25,,
26,,
